event_id,bracket_bundle_id,attempts,last_failed
10767,732047,1,2025-03-20
10767,732042,1,2025-03-20
10767,731998,1,2025-03-20
10767,732003,1,2025-03-20
10767,732039,1,2025-03-20
10767,731994,1,2025-03-20
10767,732007,1,2025-03-20
10767,731996,1,2025-03-20
10767,732048,1,2025-03-20
10767,732032,1,2025-03-20
10767,731969,1,2025-03-20
10767,732013,1,2025-03-20
10767,731925,1,2025-03-20
10767,731955,1,2025-03-20
10767,731863,1,2025-03-20
10767,731945,1,2025-03-20
10767,731906,1,2025-03-20
10767,731959,1,2025-03-20
10767,731884,1,2025-03-20
10767,731889,1,2025-03-20
10767,731885,1,2025-03-20
10767,731977,1,2025-03-20
10767,731973,1,2025-03-20
10767,731972,1,2025-03-20
10767,732034,1,2025-03-20
10767,731855,1,2025-03-20
10767,731920,1,2025-03-20
10767,731943,1,2025-03-20
10767,731899,1,2025-03-20
10767,731897,1,2025-03-20
10767,731936,1,2025-03-20
10767,731985,1,2025-03-20
10767,731978,1,2025-03-20
10767,731975,1,2025-03-20
10767,731993,1,2025-03-20
10767,732023,1,2025-03-20
10767,731995,1,2025-03-20
10767,731879,1,2025-03-20
10767,731901,1,2025-03-20
10767,731938,1,2025-03-20
10767,731935,1,2025-03-20
10767,731968,1,2025-03-20
10767,731950,1,2025-03-20
10767,732015,1,2025-03-20
10767,731952,1,2025-03-20
10767,731974,1,2025-03-20
10767,732021,1,2025-03-20
10767,732008,1,2025-03-20
10767,732019,1,2025-03-20
10767,732025,1,2025-03-20
10767,731999,1,2025-03-20
10767,731851,1,2025-03-20
10767,731947,1,2025-03-20
10767,731849,1,2025-03-20
10767,731859,1,2025-03-20
10767,732011,1,2025-03-20
10767,732012,1,2025-03-20
10767,731915,1,2025-03-20
10767,731989,1,2025-03-20
10767,731987,1,2025-03-20
10767,732016,1,2025-03-20
10767,732022,1,2025-03-20
10767,731988,1,2025-03-20
10767,731948,1,2025-03-20
10767,731902,1,2025-03-20
10767,731868,1,2025-03-20
10767,731923,1,2025-03-20
10767,732000,1,2025-03-20
10767,732020,1,2025-03-20
10767,731883,1,2025-03-20
10767,732024,1,2025-03-20
10767,732029,1,2025-03-20
10767,732017,1,2025-03-20
10767,731990,1,2025-03-20
10767,732033,1,2025-03-20
10767,731876,1,2025-03-20
10767,731931,1,2025-03-20
10767,731937,1,2025-03-20
10767,731852,1,2025-03-20
10767,731941,1,2025-03-20
10767,731939,1,2025-03-20
10767,731914,1,2025-03-20
10767,732030,1,2025-03-20
