event_id,event_name,match_id
19885,"ADCC US Open - Portland, OR",10433278
19885,"ADCC US Open - Portland, OR",10432719
19885,"ADCC US Open - Portland, OR",10432988
19885,"ADCC US Open - Portland, OR",10432687
19885,"ADCC US Open - Portland, OR",10432680
19885,"ADCC US Open - Portland, OR",10431304
19885,"ADCC US Open - Portland, OR",10433328
19885,"ADCC US Open - Portland, OR",10432903
19885,"ADCC US Open - Portland, OR",10446824
19885,"ADCC US Open - Portland, OR",10448759
19885,"ADCC US Open - Portland, OR",10432201
19885,"ADCC US Open - Portland, OR",10432963
19885,"ADCC US Open - Portland, OR",10431664
19885,"ADCC US Open - Portland, OR",10431318
19885,"ADCC US Open - Portland, OR",10446829
19885,"ADCC US Open - Portland, OR",10433214
19885,"ADCC US Open - Portland, OR",10432732
19885,"ADCC US Open - Portland, OR",10433279
19885,"ADCC US Open - Portland, OR",10431323
19885,"ADCC US Open - Portland, OR",10447771
19885,"ADCC US Open - Portland, OR",10431342
19885,"ADCC US Open - Portland, OR",10446678
19885,"ADCC US Open - Portland, OR",10431859
19885,"ADCC US Open - Portland, OR",10433335
19885,"ADCC US Open - Portland, OR",10431628
19885,"ADCC US Open - Portland, OR",10447770
19885,"ADCC US Open - Portland, OR",10431319
19885,"ADCC US Open - Portland, OR",10432196
19885,"ADCC US Open - Portland, OR",10432221
19885,"ADCC US Open - Portland, OR",10448761
19885,"ADCC US Open - Portland, OR",10432742
19885,"ADCC US Open - Portland, OR",10433282
19885,"ADCC US Open - Portland, OR",10433382
19885,"ADCC US Open - Portland, OR",10431863
19885,"ADCC US Open - Portland, OR",10446830
19885,"ADCC US Open - Portland, OR",10431328
19885,"ADCC US Open - Portland, OR",10431862
19885,"ADCC US Open - Portland, OR",10432886
19885,"ADCC US Open - Portland, OR",10446865
19885,"ADCC US Open - Portland, OR",10433336
19885,"ADCC US Open - Portland, OR",10448762
19885,"ADCC US Open - Portland, OR",10432925
19885,"ADCC US Open - Portland, OR",10447767
19885,"ADCC US Open - Portland, OR",10432905
19885,"ADCC US Open - Portland, OR",10431665
19885,"ADCC US Open - Portland, OR",10433283
19885,"ADCC US Open - Portland, OR",10433337
19885,"ADCC US Open - Portland, OR",10433383
19885,"ADCC US Open - Portland, OR",10431894
